id,name,alt_names,network,owners,country,categories,is_nsfw,launched,closed,replaced_by,website
002RadioTV.do,002 Radio TV,,,,DO,general,FALSE,,,,https://www.002radio.com/
0TV.dk,0-TV,,,,DK,general,FALSE,,,,https://0-tv.dk/
10.au,10,,,,AU,news,FALSE,,,,http://10play.com.au/
1000xHoraTV.uy,1000xHora TV,,,,UY,auto,FALSE,,,,https://www.1000xhoratv.com/
1001Noites.br,1001 Noites,,,,BR,shop,FALSE,,,,https://1001noites.com.br/
100AutoMotoTV.bg,100% Auto Moto TV,100% Ауто Мото ТВ,,,BG,auto,FALSE,,,,http://100automoto.tv/
100NEWS.ua,100% NEWS,,,,UA,news;business,FALSE,,,,https://www.100news.tv/
100NLTV.nl,100% NL TV,,,Radiocorp B.V.,NL,music,FALSE,2013-10-01,,,https://www.100p.nl/
101tvAntequera.es,101tv Antequera,,,,ES,general,FALSE,,,,https://www.101tv.es/antequera/
101tvAxarquia.es,101tv Axarquia,101tv Axarquía,,,ES,general,FALSE,,,,https://www.101tv.es/
101tvCadiz.es,101tv Cadiz,101tv Cádiz,,,ES,general,FALSE,,,,https://www.101tv.es/
101tvMalaga.es,101tv Malaga,101tv Málaga,,,ES,news,FALSE,,,,https://www.101tv.es/endirecto101tv/
101tvRonda.es,101tv Ronda,,,,ES,general,FALSE,,,,https://www.101tv.es/ronda/
101tvSevilla.es,101tv Sevilla,,,,ES,general,FALSE,,,,https://www.101tv.es/
10Bold.au,10 Bold,10 Boss;One;One HD,Network 10,Ten Network Holdings Ltd,AU,lifestyle;relax,FALSE,2009-03-26,,,http://tenplay.com.au/
10Channel.gr,10 Channel,,,,GR,entertainment,FALSE,,,,https://10channel.gr/
10emeRueTV.cd,10'eme Rue TV,10'ème Rue TV,,,CD,news,FALSE,,,,https://10emeruetv.net/
10HD.au,10HD,,,,AU,news,FALSE,,,,http://10play.com.au/
10Peach.au,10 Peach,,,Ten Network Holdings,AU,general,FALSE,2011-01-11,,,http://tenplay.com.au/
10Shake.au,10 Shake,,,Ten Network Holdings,AU,animation;kids,FALSE,2020-09-27,,,http://10play.com.au
10TV.in,10 TV,,,Spoorthi Communications Pvt. Ltd.,IN,news,FALSE,2013-03-16,,,https://www.10tv.in/
